filename,label
.\NatureConservancyCropped\test\BET\img_02486_1.jpg,BET
.\NatureConservancyCropped\train\OTHER\img_03742_1.jpg,OTHER
.\NatureConservancyCropped\train\ALB\img_04997_1.jpg,ALB
.\NatureConservancyCropped\test\BET\img_06966_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_02584_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_07720_1.jpg,ALB
.\NatureConservancyCropped\train\BET\img_02498_5.jpg,BET
.\NatureConservancyCropped\train\ALB\img_00507_2.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_01207_2.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_06656_1.jpg,ALB
.\NatureConservancyCropped\test\YFT\img_03043_1.jpg,YFT
.\NatureConservancyCropped\train\YFT\img_03649_1.jpg,YFT
.\NatureConservancyCropped\test\BET\img_02522_1.jpg,BET
.\NatureConservancyCropped\train\SHARK\img_03971_1.jpg,SHARK
.\NatureConservancyCropped\train\BET\img_04039_1.jpg,BET
.\NatureConservancyCropped\test\YFT\img_03210_1.jpg,YFT
.\NatureConservancyCropped\test\ALB\img_05488_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_06535_1.jpg,YFT
.\NatureConservancyCropped\train\YFT\img_03196_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_01934_4.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_06263_1.jpg,ALB
.\NatureConservancyCropped\train\OTHER\img_03133_1.jpg,OTHER
.\NatureConservancyCropped\train\ALB\img_04893_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_04093_1.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_00053_2.jpg,ALB
.\NatureConservancyCropped\train\OTHER\img_01483_1.jpg,OTHER
.\NatureConservancyCropped\train\SHARK\img_03241_1.jpg,SHARK
.\NatureConservancyCropped\train\SHARK\img_03351_1.jpg,SHARK
.\NatureConservancyCropped\train\ALB\img_07418_1.jpg,ALB
.\NatureConservancyCropped\train\SHARK\img_01298_1.jpg,SHARK
.\NatureConservancyCropped\train\ALB\img_01354_1.jpg,ALB
.\NatureConservancyCropped\train\LAG\img_04734_1.jpg,LAG
.\NatureConservancyCropped\train\ALB\img_06126_3.jpg,ALB
.\NatureConservancyCropped\test\LAG\img_06614_2.jpg,LAG
.\NatureConservancyCropped\train\ALB\img_02359_2.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_00687_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_07242_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_05592_1.jpg,YFT
.\NatureConservancyCropped\train\BET\img_05065_2.jpg,BET
.\NatureConservancyCropped\train\YFT\img_03710_2.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_00003_3.jpg,ALB
.\NatureConservancyCropped\test\YFT\img_07319_1.jpg,YFT
.\NatureConservancyCropped\train\OTHER\img_02802_1.jpg,OTHER
.\NatureConservancyCropped\train\ALB\img_07280_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_02014_2.jpg,YFT
.\NatureConservancyCropped\test\BET\img_07501_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_04917_2.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_01186_4.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_03600_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_05309_2.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_02485_1.jpg,YFT
.\NatureConservancyCropped\train\YFT\img_00801_1.jpg,YFT
.\NatureConservancyCropped\test\BET\img_00320_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_01417_3.jpg,ALB
.\NatureConservancyCropped\test\BET\img_01177_1.jpg,BET
.\NatureConservancyCropped\train\YFT\img_04429_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_01354_2.jpg,ALB
.\NatureConservancyCropped\test\BET\img_02703_1.jpg,BET
.\NatureConservancyCropped\test\YFT\img_00141_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_05500_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_02086_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_00752_1.jpg,YFT
.\NatureConservancyCropped\train\BET\img_04989_1.jpg,BET
.\NatureConservancyCropped\train\OTHER\img_03066_1.jpg,OTHER
.\NatureConservancyCropped\train\ALB\img_00299_1.jpg,ALB
.\NatureConservancyCropped\test\BET\img_07005_1.jpg,BET
.\NatureConservancyCropped\test\BET\img_07023_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_05094_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_01949_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_07025_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_05215_7.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_05131_1.jpg,ALB
