Model,Size,Top-1 Accuracy,Top-5 Accuracy,Parameters,Depth
Xception,88 MB,0.79,0.945,"22,910,480",126
VGG16,528 MB,0.713,0.901,"138,357,544",23
VGG19,549 MB,0.713,0.9,"143,667,240",26
ResNet50,98 MB,0.749,0.921,"25,636,712",-
ResNet101,171 MB,0.764,0.928,"44,707,176",-
ResNet152,232 MB,0.766,0.931,"60,419,944",-
ResNet50V2,98 MB,0.76,0.93,"25,613,800",-
ResNet101V2,171 MB,0.772,0.938,"44,675,560",-
ResNet152V2,232 MB,0.78,0.942,"60,380,648",-
InceptionV3,92 MB,0.779,0.937,"23,851,784",159
InceptionResNetV2,215 MB,0.803,0.953,"55,873,736",572
MobileNet,16 MB,0.704,0.895,"4,253,864",88
MobileNetV2,14 MB,0.713,0.901,"3,538,984",88
DenseNet121,33 MB,0.75,0.923,"8,062,504",121
DenseNet169,57 MB,0.762,0.932,"14,307,880",169
DenseNet201,80 MB,0.773,0.936,"20,242,984",201
NASNetMobile,23 MB,0.744,0.919,"5,326,716",-
NASNetLarge,343 MB,0.825,0.96,"88,949,818",-
EfficientNetB0,29 MB,0.771,0.933,"5,330,571",-
EfficientNetB1,31 MB,0.791,0.944,"7,856,239",-
EfficientNetB2,36 MB,0.801,0.949,"9,177,569",-
EfficientNetB3,48 MB,0.816,0.957,"12,320,535",-
EfficientNetB4,75 MB,0.829,0.964,"19,466,823",-
EfficientNetB5,118 MB,0.836,0.967,"30,562,527",-
EfficientNetB6,166 MB,0.84,0.968,"43,265,143",-
EfficientNetB7,256 MB,0.843,0.97,"66,658,687",-
